label,support,precision,recall,f1,auc_pr,roc_auc
experimental,21,0.011212333566923615,0.7619047619047619,0.022099447513812154,0.019647705511974718,0.656250583338
electronic,35,0.021103896103896104,0.7428571428571429,0.04104183109707971,0.07533094661047217,0.7323835801565404
instrumental,17,0.01098901098901099,0.35294117647058826,0.021314387211367674,0.014124452437169054,0.7425578450558306
classical,13,0.07352941176470588,0.7692307692307693,0.1342281879194631,0.06314262769871982,0.960621637057745
idm,9,0.00819672131147541,0.4444444444444444,0.01609657947686117,0.007832091854109848,0.7377205531711969
electronica,14,0.009732360097323601,0.5714285714285714,0.019138755980861243,0.02228387002154414,0.631715626047135
horror,5,0.013392857142857142,0.6,0.026200873362445413,0.02289168602357273,0.806388780677834
techno,2,0.0016233766233766235,0.5,0.003236245954692557,0.006224946037619488,0.7675097276264592
tracks to sync,6,0.011990407673860911,0.8333333333333334,0.02364066193853428,0.06352890845837507,0.8944531047025202
punk,21,0.017543859649122806,0.2857142857142857,0.03305785123966942,0.024976709571897265,0.4492169270687499
rock,29,0.0,0.0,0.0,0.007436250954014338,0.2760722470066579
piano,11,0.07777777777777778,0.6363636363636364,0.13861386138613863,0.10523775969261802,0.8988676298320968
hip hop,1,0.0014727540500736377,1.0,0.0029411764705882353,0.00411522633744856,0.9058732010890704
acoustic,4,0.0034965034965034965,0.25,0.006896551724137931,0.003771263152270618,0.6540109034267914
electro,33,0.04926108374384237,0.6060606060606061,0.09111617312072894,0.11834848765450298,0.8349266592669506
jazz,5,0.003861003861003861,0.2,0.007575757575757576,0.004331524010392343,0.6123880015582392
noise,10,0.0,0.0,0.0,0.0070652198354485335,0.6156908665105387
soundtrack,8,0.0,0.0,0.0,0.008774138023160448,0.7938767550702027
psychedelic,13,0.009615384615384616,0.07692307692307693,0.017094017094017096,0.01071096787907917,0.705954850151802
clinical archives,5,0.0,0.0,0.0,0.003794033673042644,0.692559407869108
dance,8,0.006896551724137931,0.375,0.013544018058690745,0.009286353128904301,0.7989957098283931
ambient,23,0.05555555555555555,0.043478260869565216,0.04878048780487805,0.016104818802771655,0.5203063434936122
halloween,5,0.04081632653061224,0.4,0.07407407407407407,0.04687395661763981,0.8682508765095442
shoegaze,0,0.0,0.0,0.0,0.0,
downtempo,5,0.0,0.0,0.0,0.0018681309385343552,0.4114530580444098
folk,14,0.006711409395973154,0.07142857142857142,0.012269938650306749,0.008852130357919593,0.5740254663241372
new zealand,45,0.0,0.0,0.0,0.011504003992121044,0.2799806533878556
dub,10,0.01263537906137184,0.7,0.024822695035460994,0.02824076545238048,0.8785714285714286
pop,10,0.0,0.0,0.0,0.0098804107794493,0.7963505074160812
chiptune,47,0.21782178217821782,0.46808510638297873,0.2972972972972973,0.1891125785841074,0.9221234463871919
chip music,4,0.023076923076923078,0.75,0.04477611940298507,0.03302990708450026,0.9428543613707165
glitch,11,0.0,0.0,0.0,0.006391932297300314,0.6232295623158568
section 27,0,0.0,0.0,0.0,0.0,
choral,2,0.0,0.0,0.0,0.00498905145814671,0.8828793774319067
bach,0,0.0,0.0,0.0,0.0,
new wave,26,0.1111111111111111,0.038461538461538464,0.05714285714285714,0.02885791347033547,0.4533808689346789
era 1,2,0.007042253521126761,0.5,0.013888888888888888,0.011899717514124294,0.9505836575875486
chamber music,0,0.0,0.0,0.0,0.0,
drone,16,0.05454545454545454,0.1875,0.08450704225352113,0.07101594958765083,0.8621381064162754
spettro records,13,0.0,0.0,0.0,0.005754525291306445,0.4615084017194217
funk,7,0.008849557522123894,0.14285714285714285,0.016666666666666666,0.013530521811656135,0.8712336396546922
terror,2,0.01694915254237288,0.5,0.03278688524590164,0.009924242424242424,0.756420233463035
new york city,0,0.0,0.0,0.0,0.0,
johann sebastian bach,0,0.0,0.0,0.0,0.0,
8bit,35,0.14285714285714285,0.2571428571428571,0.1836734693877551,0.0923399150608292,0.8650599695928826
dubstep,8,0.012658227848101266,0.625,0.02481389578163772,0.013158296232796327,0.8015795631825273
guitar,0,0.0,0.0,0.0,0.0,
betterwithmusic,0,0.0,0.0,0.0,0.0,
metal,3,0.0,0.0,0.0,0.0045727705300308815,0.5973790060983521
baroque,0,0.0,0.0,0.0,0.0,
